"date","close","volume","open","high","signal","low"
"2015/10/15","221.31","2835920.0","216.43","221.73","0.7846","0.7846"
"2015/10/16","227.01","4327574.0","223.04","230.4805","0.78378","0.78378"
"2015/10/19","228.1","2506836.0","226.5","231.15","0.78542","0.78542"
"2015/10/20","213.03","14877020.0","227.72","228.6","0.78542","0.78542"
"2015/10/21","210.09","4177956.0","211.99","214.81","0.7846","0.7846"
"2015/10/22","211.72","2818801.0","211.56","215.75","0.78215","0.78215"
"2015/10/23","209.09","4226411.0","215.0","215.35","0.78296","0.78296"
"2015/10/26","215.26","3388227.0","211.38","215.88","0.78296","0.78296"
"2015/10/27","210.35","3512832.0","214.84","217.1","0.7846","0.7846"
"2015/10/28","212.96","2726880.0","211.31","213.45","0.78215","0.78215"
"2015/10/29","211.63","1794743.0","211.75","213.7481","0.78296","0.78296"
"2015/10/30","206.93","4432433.0","210.4","211.63","0.78296","0.78296"
"2015/11/02","213.79","3924514.0","208.92","215.8","0.78133","0.78133"
"2015/11/03","208.35","8065091.0","213.85","214.44","0.78133","0.78133"
"2015/11/04","231.63","12713530.0","227.0","232.74","0.78133","0.78133"
"2015/11/05","231.77","4494944.0","230.58","234.5843","0.78133","0.78133"
"2015/11/06","232.36","2444264.0","230.7","233.359","0.77805","0.77805"
"2015/11/09","225.33","3846179.0","232.99","232.99","0.77641","0.77641"
"2015/11/10","216.5","4612408.0","223.48","223.7","0.77805","0.77805"
"2015/11/11","219.08","3337501.0","217.77","219.48","0.78051","0.78051"
"2015/11/12","212.94","2913511.0","217.85","219.0","0.78051","0.78051"
"2015/11/13","207.19","3423139.0","212.95","212.99","0.78051","0.78051"
"2015/11/16","214.31","2920362.0","206.09","214.98","0.77969","0.77969"
"2015/11/17","214.0","2148326.0","215.2","216.0","0.78133","0.78133"
"2015/11/18","221.07","2810200.0","214.5","221.38","0.78051","0.78051"
"2015/11/19","221.8","2499593.0","220.54","226.19","0.77887","0.77887"
"2015/11/20","220.01","4394199.0","223.49","225.0","0.77969","0.77969"
"2015/11/23","217.75","2525196.0","217.35","219.18","0.77969","0.77969"
"2015/11/24","218.25","2478389.0","215.37","221.0","0.77723","0.77723"
"2015/11/25","229.64","3986945.0","221.34","230.825","0.77723","0.77723"
"2015/11/27","231.61","1949353.0","231.06","232.25","0.77723","0.77723"
"2015/11/30","230.26","2591205.0","231.79","234.28","0.78215","0.78215"
"2015/12/01","237.19","3728562.0","231.06","238.0","0.7846","0.7846"
"2015/12/02","231.99","2980644.0","237.0","238.6","0.78215","0.78215"
"2015/12/03","232.71","2937233.0","235.48","237.45","0.77805","0.77805"
"2015/12/04","230.38","2572014.0","232.46","233.27","0.78051","0.78051"
"2015/12/07","231.13","3140864.0","227.7","235.63","0.78051","0.78051"
"2015/12/08","226.72","2682259.0","227.52","228.8","0.77805","0.77805"
"2015/12/09","224.52","3057036.0","226.7","227.5","0.77723","0.77723"
"2015/12/10","227.07","2070088.0","224.71","228.49","0.77887","0.77887"
"2015/12/11","217.02","3259114.0","225.24","225.75","0.77969","0.77969"
"2015/12/14","218.58","2827797.0","217.51","220.92","0.78051","0.78051"
"2015/12/15","221.09","2241686.0","221.82","222.22","0.77969","0.77969"
"2015/12/16","234.51","5100443.0","222.1","234.88","0.77887","0.77887"
"2015/12/17","233.39","3294460.0","233.94","237.76","0.78133","0.78133"
"2015/12/18","230.46","3008057.0","232.89","235.9","0.77805","0.77805"
"2015/12/21","232.56","1951581.0","231.69","235.83","0.77805","0.77805"
"2015/12/22","229.95","1958836.0","234.99","236.55","0.77887","0.77887"
"2015/12/23","229.7","1551031.0","232.18","233.45","0.78133","0.78133"
"2015/12/24","230.57","710277.0","230.56","231.88","0.78133","0.78133"
"2015/12/28","228.95","1900171.0","231.49","231.98","0.78051","0.78051"
"2015/12/29","237.19","2402438.0","230.06","237.72","0.77805","0.77805"
"2015/12/30","238.09","3694448.0","236.6","243.634","0.78133","0.78133"
"2015/12/31","240.01","2713817.0","238.51","243.45","0.78296","0.78296"
"2016/01/04","223.41","6823510.0","230.72","231.38","0.78378","0.78378"
"2016/01/05","223.43","3185525.0","226.36","226.89","0.78378","0.78378"
"2016/01/06","219.04","3774353.0","220.0","220.05","0.78624","0.78624"
"2016/01/07","215.65","3550704.0","214.19","218.44","0.78788","0.78788"
"2016/01/08","211.0","3572360.0","217.86","220.44","0.78952","0.78952"
"2016/01/11","207.85","4090843.0","214.01","214.45","0.7887","0.7887"
"2016/01/12","209.97","3079051.0","211.6","213.7395","0.79279","0.79279"
"2016/01/13","200.31","4120993.0","212.01","212.65","0.79689","0.79689"
"2016/01/14","206.18","6490579.0","202.21","210.0","0.79525","0.79525"
"2016/01/15","204.99","5325773.0","198.97","205.07","0.79443","0.79443"
"2016/01/19","204.72","4031271.0","208.71","210.47","0.79853","0.79853"
"2016/01/20","198.7","5826110.0","199.4","201.28","0.80016","0.80016"
"2016/01/21","199.97","3164424.0","201.55","203.23","0.79934","0.79934"
"2016/01/22","202.55","3122066.0","204.801","205.5","0.79525","0.79525"
"2016/01/25","196.38","2695408.0","200.06","203.57","0.79607","0.79607"
"2016/01/26","193.56","4956918.0","196.7","197.82","0.80016","0.80016"
"2016/01/27","188.07","3577353.0","192.38","193.26","0.80016","0.80016"
"2016/01/28","189.7","4586328.0","190.79","191.28","0.79853","0.79853"
"2016/01/29","191.2","2848929.0","189.95","193.74","0.79934","0.79934"
"2016/02/01","196.94","5295685.0","188.76","199.52","0.79689","0.79689"
"2016/02/02","182.78","5764817.0","192.42","193.12","0.79115","0.79115"
"2016/02/03","173.48","7927640.0","183.59","183.94","0.78624","0.78624"
"2016/02/04","175.33","4379442.0","170.7","175.98","0.78215","0.78215"
"2016/02/05","162.6","9434495.0","171.3","173.0","0.78051","0.78051"
"2016/02/08","147.99","9306754.0","157.105","157.15","0.78051","0.78051"
"2016/02/09","148.25","8639661.0","142.32","159.79","0.77969","0.77969"
"2016/02/10","143.67","10104690.0","150.5","154.97","0.77805","0.77805"
"2016/02/11","150.47","14236900.0","152.0","163.26","0.77969","0.77969"
"2016/02/12","151.04","7233264.0","155.0","157.01","0.78051","0.78051"
"2016/02/16","155.17","5561638.0","158.7","162.95","0.77969","0.77969"
"2016/02/17","168.68","5820264.0","159.0","169.34","0.77805","0.77805"
"2016/02/18","166.77","3883107.0","172.42","172.95","0.77887","0.77887"
"2016/02/19","166.58","2955832.0","163.66","167.49","0.77887","0.77887"
"2016/02/22","177.74","5055340.0","170.12","178.91","0.77887","0.77887"
"2016/02/23","177.21","5982993.0","176.16","181.73","0.77641","0.77641"
"2016/02/24","179.0","5385369.0","172.75","179.5","0.77641","0.77641"
"2016/02/25","187.43","5727008.0","178.65","188.5192","0.77641","0.77641"
"2016/02/26","190.34","6054061.0","188.7","192.0","0.77641","0.77641"
"2016/02/29","191.93","4495402.0","192.4","196.35","0.77477","0.77477"
"2016/03/01","186.35","6695704.0","194.25","195.9484","0.77396","0.77396"
"2016/03/02","188.34","4858631.0","183.73","188.52","0.77641","0.77641"
"2016/03/03","195.74","4822993.0","188.28","197.42","0.77723","0.77723"
"2016/03/04","201.04","6479858.0","198.0","204.03","0.77559","0.77559"
"2016/03/07","205.29","5331097.0","197.68","209.7","0.77314","0.77314"
"2016/03/08","202.6","4175498.0","203.5","207.5","0.76577","0.76577"
"2016/03/09","208.72","3207597.0","204.52","209.3726","0.75921","0.75921"
"2016/03/10","205.18","5191602.0","210.0","213.29","0.75184","0.75184"
"2016/03/11","207.5","3339148.0","207.93","209.42","0.74447","0.74447"
"2016/03/14","215.15","4062304.0","212.65","216.72","0.75266","0.75266"
"2016/03/15","218.34","3133230.0","214.27","218.97","0.78215","0.78215"
"2016/03/16","221.93","3511873.0","218.0","222.58","0.79361","0.79361"
"2016/03/17","226.38","3769083.0","221.47","228.5","0.86732","0.86732"
"2016/03/18","232.74","4704761.0","229.1","234.48","0.93284","0.93284"
"2016/03/21","238.32","5289014.0","235.34","239.88","0.9828","0.9828"
"2016/03/22","234.24","4303052.0","237.21","238.99","1.0","1.0"
"2016/03/23","222.58","4936203.0","232.37","234.73","0.95987","0.95987"
"2016/03/24","227.75","4956604.0","215.78","228.8877","0.86732","0.86732"
"2016/03/28","230.26","3878599.0","231.61","234.81","0.78788","0.78788"
"2016/03/29","230.13","4006037.0","229.89","232.38","0.76003","0.76003"
"2016/03/30","226.89","4025670.0","235.09","235.5","0.75758","0.75758"
"2016/03/31","229.77","7975638.0","229.34","237.42","0.76577","0.76577"
"2016/04/01","237.59","15979910.0","244.825","247.9","0.7715","0.7715"
"2016/04/04","246.99","13381160.0","249.12","252.12","0.77232","0.77232"
"2016/04/05","255.47","9931470.0","240.5","256.56","0.7715","0.7715"
"2016/04/06","265.42","11695760.0","253.97","267.74","0.77232","0.77232"
"2016/04/07","257.2","8845567.0","266.45","269.34","0.77396","0.77396"
"2016/04/08","250.07","7352707.0","260.5","260.82","0.76986","0.76986"
"2016/04/11","249.92","9156404.0","251.0","258.99","0.76986","0.76986"
"2016/04/12","247.82","5755351.0","249.5","251.8","0.76904","0.76904"
"2016/04/13","254.53","4921554.0","248.51","255.5","0.7715","0.7715"
"2016/04/14","251.86","4129258.0","253.0","256.839","0.7715","0.7715"
"2016/04/15","254.51","3748593.0","251.31","254.6","0.77068","0.77068"
"2016/04/18","253.88","4263246.0","252.23","258.31","0.76986","0.76986"
"2016/04/19","247.37","6351360.0","253.12","254.3699","0.77314","0.77314"
"2016/04/20","249.97","5192343.0","246.26","253.66","0.77314","0.77314"
"2016/04/21","248.29","2777079.0","248.99","250.9","0.77232","0.77232"
"2016/04/22","253.75","3783126.0","248.89","254.0","0.76986","0.76986"
"2016/04/25","251.82","3665088.0","253.01","257.38","0.77232","0.77232"
"2016/04/26","253.74","3217779.0","252.05","255.73","0.77314","0.77314"
"2016/04/27","251.47","3198105.0","252.75","255.0","0.7715","0.7715"
"2016/04/28","247.71","2515595.0","249.85","253.43","0.77068","0.77068"
"2016/04/29","240.76","5405164.0","248.14","248.43","0.77396","0.77396"
"2016/05/02","241.8","3838958.0","241.5","243.19","0.77314","0.77314"
"2016/05/03","232.32","4296325.0","237.36","238.91","0.77232","0.77232"
"2016/05/04","222.56","8550004.0","230.29","234.46","0.7715","0.7715"
"2016/05/05","211.53","11248340.0","228.46","228.64","0.77396","0.77396"
"2016/05/06","214.93","5683675.0","210.87","216.37","0.77232","0.77232"
"2016/05/09","208.92","4772992.0","215.72","216.15","0.77232","0.77232"
"2016/05/10","208.69","4068053.0","207.55","209.47","0.76986","0.76986"
"2016/05/11","208.96","5159640.0","207.59","215.48","0.76904","0.76904"
"2016/05/12","207.28","3650075.0","211.44","211.67","0.77068","0.77068"
"2016/05/13","207.61","2820616.0","207.78","211.2","0.76904","0.76904"
"2016/05/16","208.29","2945754.0","208.15","213.15","0.76904","0.76904"
"2016/05/17","204.66","2842028.0","209.05","209.8199","0.76904","0.76904"
"2016/05/18","211.17","5552692.0","209.15","215.31","0.77232","0.77232"
"2016/05/19","215.21","6817922.0","213.62","216.79","0.77068","0.77068"
"2016/05/20","220.28","8996546.0","216.99","220.55","0.77068","0.77068"
"2016/05/23","216.22","5096751.0","219.87","222.6","0.76986","0.76986"
"2016/05/24","217.91","3009327.0","216.6","218.74","0.77068","0.77068"
"2016/05/25","219.58","3131279.0","217.91","221.36","0.7715","0.7715"
"2016/05/26","225.12","4066512.0","220.5","225.26","0.77232","0.77232"
"2016/05/27","223.04","3645792.0","224.99","225.93","0.77068","0.77068"
"2016/05/31","223.23","2786682.0","223.04","224.7497","0.77232","0.77232"
"2016/06/01","219.56","2982270.0","221.48","222.4","0.7715","0.7715"
"2016/06/02","218.96","2017279.0","219.59","219.909","0.76986","0.76986"
"2016/06/03","218.99","2226110.0","220.0","221.94","0.76986","0.76986"
"2016/06/06","220.68","2242634.0","218.0","220.9","0.7715","0.7715"
"2016/06/07","232.34","6194154.0","222.24","234.44","0.7715","0.7715"
"2016/06/08","235.52","5965110.0","233.8","240.845","0.77068","0.77068"
"2016/06/09","229.36","4454222.0","234.98","235.33","0.76904","0.76904"
"2016/06/10","218.79","5994548.0","227.39","227.97","0.76658","0.76658"
"2016/06/13","217.87","4187833.0","219.5","225.77","0.7674","0.7674"
"2016/06/14","214.96","3575822.0","218.88","222.2","0.76577","0.76577"
"2016/06/15","217.7","2905002.0","216.95","221.9","0.76167","0.76167"
"2016/06/16","217.93","2438692.0","217.42","218.04","0.76413","0.76413"
"2016/06/17","215.47","3107734.0","217.81","219.99","0.76495","0.76495"
"2016/06/20","219.7","3549768.0","219.5","223.75","0.76413","0.76413"
"2016/06/21","219.61","2855619.0","220.68","222.569","0.76167","0.76167"
"2016/06/22","196.66","23706100.0","199.47","205.95","0.76167","0.76167"
"2016/06/23","196.4","10098190.0","195.69","197.55","0.76331","0.76331"
"2016/06/24","193.15","6988949.0","190.05","195.12","0.76413","0.76413"
"2016/06/27","198.55","7211823.0","190.86","198.81","0.76167","0.76167"
"2016/06/28","201.79","6158996.0","201.89","204.05","0.76003","0.76003"
"2016/06/29","210.19","5987120.0","205.13","211.78","0.76413","0.76413"
"2016/06/30","212.28","4794440.0","212.97","213.4999","0.76577","0.76577"
"2016/07/01","216.5","5396030.0","206.14","218.24","0.76577","0.76577"
"2016/07/05","213.98","5169832.0","209.73","214.5441","0.7674","0.7674"
"2016/07/06","214.44","4910285.0","210.0","215.23","0.77232","0.77232"
"2016/07/07","215.94","3603385.0","213.1","218.12","0.77559","0.77559"
"2016/07/08","216.78","4067131.0","217.8","219.81","0.77559","0.77559"
"2016/07/11","224.78","5369066.0","219.96","226.78","0.77805","0.77805"
"2016/07/12","224.65","4573875.0","224.1","227.5","0.78215","0.78215"
"2016/07/13","222.53","3540699.0","225.5","225.59","0.78542","0.78542"
"2016/07/14","221.53","2657899.0","223.12","224.94","0.78624","0.78624"
"2016/07/15","220.4","2230821.0","222.52","222.7499","0.78542","0.78542"
"2016/07/18","226.25","3394588.0","219.64","227.09","0.78706","0.78706"
"2016/07/19","225.26","3047535.0","225.0","229.1","0.79034","0.79034"
"2016/07/20","228.36","2556119.0","226.47","229.8","0.79034","0.79034"
"2016/07/21","220.5","4425756.0","226.0","227.847","0.79279","0.79279"
"2016/07/22","222.27","2570462.0","221.99","224.5","0.79197","0.79197"
"2016/07/25","230.01","4479483.0","222.27","231.39","0.79443","0.79443"
"2016/07/26","229.51","3427251.0","227.69","230.0","0.79279","0.79279"
"2016/07/27","228.49","2887028.0","229.34","233.36","0.79361","0.79361"
"2016/07/28","230.61","2415462.0","227.95","230.76","0.79279","0.79279"
"2016/07/29","234.79","3061574.0","230.7","235.28","0.79607","0.79607"
"2016/08/01","230.01","4014048.0","235.5","236.63","0.79525","0.79525"
"2016/08/02","227.2","3928706.0","229.37","229.87","0.79525","0.79525"
"2016/08/03","225.79","3808747.0","227.37","229.699","0.79279","0.79279"
"2016/08/04","230.61","4142155.0","225.69","230.86","0.79443","0.79443"
"2016/08/05","230.03","3190342.0","230.0","232.0","0.79443","0.79443"
"2016/08/08","226.16","2259465.0","228.0","229.6","0.79607","0.79607"
"2016/08/09","229.08","2199766.0","226.82","231.5375","0.79197","0.79197"
"2016/08/10","225.65","2336496.0","228.24","229.87","0.79361","0.79361"
"2016/08/11","224.91","1876959.0","226.17","227.57","0.79361","0.79361"
"2016/08/12","225.61","1811850.0","225.41","226.65","0.79279","0.79279"
"2016/08/15","225.59","2017964.0","226.02","229.5","0.79361","0.79361"
"2016/08/16","223.61","2251115.0","225.49","227.19","0.79443","0.79443"
"2016/08/17","223.24","1786408.0","224.33","224.83","0.79361","0.79361"
"2016/08/18","223.51","1699300.0","223.82","225.66","0.79361","0.79361"
"2016/08/19","225.0","1658616.0","223.54","225.169","0.79279","0.79279"
"2016/08/22","222.93","2061692.0","224.17","225.11","0.79115","0.79115"
"2016/08/23","224.84","4747745.0","224.32","228.49","0.79279","0.79279"
"2016/08/24","222.62","2566947.0","227.05","227.15","0.79115","0.79115"
"2016/08/25","220.96","1760212.0","223.11","223.8","0.79115","0.79115"
